Model,Test Corpus,Accuracy,F1 (weighted),F1 (macro),Time (s)
CNN,RAVDESS,0.3352,0.2790,0.2815,5328.2
CNN,CREMA-D,0.2236,0.1310,0.1279,269.3
CNN,TESS,0.3292,0.3019,0.3019,3365.8
CNN,SAVEE,0.2786,0.2327,0.2689,1594.7
LSTM,RAVDESS,0.2831,0.2331,0.2238,2141.1
LSTM,CREMA-D,0.2920,0.2367,0.2390,107.3
LSTM,TESS,0.2571,0.2487,0.2487,394.5
LSTM,SAVEE,0.2690,0.2444,0.2472,484.1
WAV2VEC,RAVDESS,0.6458,0.6251,0.6243,2202.3
WAV2VEC,CREMA-D,0.2912,0.2623,0.2611,606.2
WAV2VEC,TESS,0.6254,0.5946,0.5946,1736.7
WAV2VEC,SAVEE,0.5238,0.5014,0.4651,3208.9
